1,0
2,40
3,70
4,100
5,141
6,171
7,201
8,240
9,270
10,300
11,341
12,370
13,400
14,441
15,470
16,500
17,540
18,570
19,600
20,640
21,670
22,700
23,740
24,770
25,800
26,840
27,870
28,900
29,940
30,970
31,1000
32,1040
33,1070
34,1100
35,1140
36,1170
37,1200
38,1240
39,1270
40,1301
41,1340
42,1371
43,1401
44,1440
45,1470
46,1500
47,1540
48,1571
49,1600
50,1640
51,1671
52,1700
53,1740
54,1770
55,1800
56,1841
57,1873
58,1900
59,1940
60,1971
61,2000
62,2041
63,2070
64,2110
65,2142
66,2170
67,2210
68,2241
69,2270
70,2310
71,2342
72,2370
73,2410
74,2442
75,2470
76,2511
77,2541
78,2570
79,2610
80,2642
81,2670
82,2710
83,2740
84,2770
85,2810
86,2840
87,2870
88,2912
89,2940
90,2970
91,3012
92,3040
93,3070
94,3112
95,3140
96,3170
97,3210
98,3240
99,3270
100,3310
101,3340
102,3370
103,3410
104,3440
105,3470
106,3510
107,3540
108,3571
109,3610
110,3640
111,3670
112,3711
113,3741
114,3770
115,3810
116,3840
117,3870
118,3910
119,3940
120,3970
121,4011
122,4040
123,4071
124,4110
125,4140
126,4171
127,4210
128,4240
129,4270
130,4310
131,4340
132,4370
133,4410
134,4440
135,4470
136,4510
137,4540
138,4572
139,4610
140,4640
141,4672
142,4710
143,4740
144,4770
145,4810
146,4840
147,4870
148,4910
149,4940
150,4970
151,5010
152,5041
153,5070
154,5110
155,5140
156,5170
157,5210
158,5240
159,5271
160,5310
161,5342
162,5370
163,5410
164,5440
165,5470
166,5512
167,5540
168,5570
169,5611
170,5640
171,5670
172,5711
173,5740
174,5770
175,5810
176,5840
177,5870
178,5910
179,5940
180,5970
181,6010
182,6040
183,6070
184,6110
185,6140
186,6170
187,6210
188,6240
189,6271
190,6310
191,6340
192,6370
193,6409
194,6440
195,6470
196,6510
197,6540
198,6570
199,6610
200,6640
201,6670
202,6710
203,6739
204,6771
205,6810
206,6840
207,6871
208,6910
209,6940
210,6970
211,7010
212,7040
213,7070
214,7109
215,7140
216,7171
217,7209
218,7240
219,7271
220,7310
221,7340
222,7370
223,7409
224,7440
225,7470
226,7510
227,7540
228,7570
229,7610
230,7640
231,7670
232,7710
233,7740
234,7770
235,7810
236,7840
237,7869
238,7910
239,7940
240,7971
